PG,SG,SF,PF,C,G,F,UTIL,Unnamed: 8,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,Saber Score
42180456,42180551,42180531,42180485,42180507,42180459,42180528,42180588,,251.8,236.33775329589844,252.58775329589844,269.4002685546875,280.0877685546875,294.1127685546875,317.5977685546875,253.0,50000,1,0,107.10183454875823,101.20395805358912,104.10212350483089,98.30579260234737,174.2036690975165,104.19967985399728,101.30151440275552,101.30151440275552,88.40334895151378,76.8551766872406
42180520,42180517,42180544,42180555,42180493,42180468,42180462,42180465,,239.50000000000003,222.1934967041016,240.2559967041016,257.3184814453125,266.5059814453125,280.5059814453125,300.0109814453125,205.0,50000,1,0,102.15650034022316,97.13440881692514,99.60816742185584,94.66065021199444,171.14461940650082,99.61014118018971,97.13638257525902,97.13638257525902,85.15110689328306,21.7559278011322
42180559,42180551,42180498,42180485,42180454,42180476,42180507,42180577,,246.4,230.47325134277344,246.97325134277344,264.2232666015625,272.2232666015625,287.4857666015625,305.4932666015625,254.0,49600,1,0,104.6767452891883,98.8371360260571,101.73504450843085,95.93922754368336,172.48853569609443,101.67465986385118,98.77675138147742,98.77675138147742,86.09329881649845,97.25521802902222
42180547,42180540,42180544,42180485,42180454,42180459,42180528,42180577,,249.3,233.51724243164065,249.01724243164065,266.8297424316406,274.0172424316406,289.5297424316406,307.5347424316406,248.0,49700,1,0,105.94825311467704,100.22488325535906,103.06704210492153,97.3827244057966,173.52140112533894,103.00211984953528,100.15996099997282,100.15996099997282,87.41708729735238,143.3740258216858
42180456,42180520,42180583,42180507,42180493,42180498,42180567,42180472,,238.8,222.5,239.25,255.25,264.5375,279.75,297.7525,214.0,49700,1,0,101.75773575650564,96.679511739611,99.203755638243,94.155267840979,170.82125008994808,99.1600891730418,96.63584527440982,96.63584527440982,84.6278841398763,-0.430002249777317
42180459,42180517,42180555,42180465,42180599,42180456,42180531,42180577,,244.5,229.36749267578125,245.11749267578125,260.36749267578125,269.9049926757813,286.36749267578125,304.63749267578123,210.0,49700,1,0,104.22691452212588,99.2074507677643,101.7178533479632,96.6970481875654,172.65989380703664,101.66817008837472,99.15776750817582,99.15776750817582,86.93727755704761,65.3145432472229
42180540,42180601,42180485,42180531,42180454,42180468,42180535,42180493,,242.0,225.9575042724609,241.2075042724609,259.77001953125,266.45751953125,281.97001953125,303.50751953124995,204.0,50000,1,0,103.29894545266114,98.63050458196676,100.95293930359414,96.3080698603394,172.2415483486436,101.01568977983936,98.69325505821196,98.69325505821196,86.76001811259731,44.21723484992981
42180520,42180498,42180528,42180462,42180526,42180517,42180465,42180485,,241.3,224.8070068359375,242.7445068359375,258.4320068359375,267.3695068359375,282.8695068359375,306.8795068359375,229.0,49800,1,0,102.67459585295234,97.24604281760756,99.94738949620346,94.54469613901163,171.26132570555637,100.08599673088166,97.38465005228576,97.38465005228576,85.10030099084634,11.355748027563097
42180456,42180468,42180583,42180507,42180526,42180459,42180555,42180588,,241.6,226.10824584960935,241.2332534790039,258.67076873779297,268.6082458496094,284.37074584960936,302.61324584960937,202.0,49900,1,0,103.17679849994153,98.4322106128464,100.79472363654436,96.06969758914845,172.03430675641664,100.74853074365262,98.38601771995468,98.38601771995468,86.42858809578014,25.67591965198517
42180601,42180551,42180498,42180507,42180454,42180459,42180528,42180577,,247.8,233.33775329589844,248.58775329589844,264.9002685546875,272.5877685546875,287.3502685546875,303.3377685546875,258.0,49200,1,0,105.21841495405322,99.30654960428342,102.2317990922556,96.38130011631122,172.87865114319777,102.1081329467914,99.1828834588192,99.1828834588192,86.41649020595425,72.83180952072144
